Vendor ID,Vendor name,Owner,Address,ZIP/postcode,Group,City,Number,Country,Email,Bank country,Currency,VAT Code,IBAN,BIC,Bank Account Number,Bank Code,Company entities
FR09908311103,Enterprises Wellness Logistics,Aiden Ford,Dorp Straat 47,6312,Suppliers,STEINHAUSEN,3215634729,Belgium,,,EUR,BE-987.587.369,BE7960926199,,,,BE
ATU19208701,Exclusive Pharmaceutical Depot,Sophie Parker,Laan Heuvelstraat 78,6300,Suppliers,Zug,3278421630,Belgium,ivan@pharma.ch,,CHF,JCVFKrQTHzmuR,BE9607261796,ZKBKCHZZ80A,,,BE
BE0252828916,Innovations Furniture Collective,Liam Harris,Mönchstweg 31,8905,Suppliers,Arni,3223947865,Belgium,info@la-furniture.ch,,CHF,LFXGjZgkguyR,BE0679962917,ZKBKCHZZ80A,,,BE
778324040,Premier eCommerce Branding,Emily Watson,Sonnenfel Dreef 13,8004,Suppliers,Zürich,3245679182,Belgium,info@la-furniture.ch,,CHF,BE-101.612.228 MWST,BE6721960987,ZKBKCHZZ80A,,,BE
BE0672863759,Global Optics Fulfillment,Noah Clark,Echo Plaatsen,8055,Suppliers,Zurich,3265784931,Belgium,info@la-furniture.ch,,CHF,BE-851.103.153,BE9716260798,UBSWCHZH80A,,,BE
BE0244142664,Elite Architectural Emporium,Olivia Turner,Fiscale Vertredestraat 29,8004,Suppliers,Zürich,3271946508,Belgium,info@la-furniture.ch,,CHF,BEL-192.807.718,BE0296967719,UBSWCHZH80A,,,BE
BE 0842156473,Select Transportation Concierge,Mason Lee,Jura Plaats 5,CH-8607,Suppliers,Seegräben,3234567821,Belgium,info@la-furniture.ch,,CHF,SyRkJIq,BE7269601987,UBSWCHZH80A,,,BE
BE0479561664,Luxury Aerospace Safety,Ava Bennett,Theater Baan 10,CH-3011,Suppliers,Bern,3267085324,Belgium,info@la-furniture.ch,,CHF,BEL-273.743.286,BE9761620869,KBBECH22XXX,,,BE
BE0568578168,Artisan Medical Experiences,Ethan Scott,Frohburg Straat 21,CH-3600,Suppliers,Thun,3273648592,Belgium,info@la-furniture.ch,,CHF,BEL-308.923.764,BE0692967718,KBBECH22XXX,,,BE
BE 0860109391,Boutique Consulting Lifestyle,Isabella Collins,Av de Châtelaine 89,84416,Suppliers,Taufkirchen (Vils),3280197654,Belgium,info@la-furniture.ch,,CHF,BE-371.881.690 MWST,BE7621698907,BYLADEM1ERD,,,BE
BE0410958217,Atelier Infrastructure Healthcare,James Murphy,Esche Straat 12,8038,Suppliers,Zürich,3212345678,Belgium,info@la-furniture.ch,,CHF,BE-384.327.535 MWST,BE9761608269,BYLADEM1ERD,,,BE
BE0642737737,Workshop Finance Advisory,Mia Brooks,Adligenswiler Weg 22,9050,Suppliers,Appenzell,3249681237,Belgium,info@la-furniture.ch,,EUR,BEL-510.178.292,BE0962967718,BYLADEM1ERD,,,BE
BE0860109391,Collective Taxation Wellness,Benjamin Hill,Schöntalparkstraat 5 postfach,CH-4626,Suppliers,Niederbuchsiten,3278095436,Belgium,info@la-furniture.ch,,CHF,mveufuc,BE6927108679,RAIFCH22XXX,,,BE
BE0728655684,Emporium Education Fitness,Charlotte Rivera,Av de Platzlaan 5,8001,Suppliers,Zurich,3225678941,Belgium,info@la-furniture.ch,,CHF,snxkl,BE9176602868,RAIFCH22XXX,,,BE
BE0672871083,Marketplace Research Outdoor,Lucas Cooper,Lerzen Straat 18,CH-4132,Suppliers,Basel,3254936782,Belgium,info@la-furniture.ch,,CHF,BE-825.244.958 MWST,BE0962768917,BLKBCH22,,,BE
BE0746581185,Depot Development Recreation,Lily Morris,Route d'Arnier 4,1219,Suppliers,Genève,3287650913,Belgium,info@la-furniture.ch,,CHF,BEL-266.494.709,BE6927160879,BLKBCH22,,,BE
BE0888020350,Warehouse Innovation Arts,Jackson Perez,Berk Straat 84,8603,Suppliers,Schwarzenbach,3245019287,Belgium,info@la-furniture.ch,,CHF,CHE-976.341.931,BE9176602086,BLKBCH22,,,BE
