vendor_id,vendor_name,owner,address,postal_code,group,city,belgian_number,country,email,bank_country,currency,vat_number,iban,bic,bank_account_number,bank_code,company_entities,bank_name,payment_terms,description,norwegian_bankgiro_number
05290520Z,QUIRÓN PREVENCIÓN SA,,"Calle Ávila, 4, 215",28035,Suppliers,Naples,,Spain,,Spain,EUR,05290520Z,ES8021003976210200107898,CAIXESBB,,,ES,Trustwell Bank,,,
05290520Z,QUIRÓN PREVENCIÓN SA,,"Calle Almuñécar, Nº 15, 3º Centro Izquierda",28035,Suppliers,Naples,,Spain,,Spain,EUR,05290520Z,ES8021003976210200107898,CAIXESBB,,,ES,Capital City Bank,,,
05458139D,Javier Díaz Rodríguez,,"C/ Río de Janeiro, 48, 3-4B",28223,Suppliers,Madrid,,Spain,,Spain,EUR,M25417692F,ES2321003019132200617751,BSCHESMM,,,ES,Grand Savings,,,
05458139D,LIONSHIP MEDIA,,Plaza Mayor No 6,28223,Suppliers,Madrid,,Spain,,Spain,EUR,M25417692F,ES2321003019132200617751,BSCHESMM,,,ES,Grand Savings,,,
078 798 05 01,Mona The Foodie Consulting,,Chemin Vert 30,1804,Suppliers,Corsier-sur-Vevey,,Switzerland,contact@contcept.ch,,CHF,078 798 05 02,CH8530700110006103009,POFICHBEXXX,,,CH,Summit Financial Trust,Net 30,,
078 798 05 01,Marketing Enterprises Utilities,Noah Young,Univ Laan 47,8005,Suppliers,Zürich,3279134582.0,Belgium,contact@music.ch,,CHF,BEL-662.490.983,BE9176602086,CRESCHZZ80A,,,BE,,,,
16619651-N,PETIT PALACE MADRID SANTA BARBARA,,"Riera de los Valles, Nº 46, 4º 2ª",8028,Suppliers,Granada,,Spain,,Spain,EUR,45298371-M,ES0800810131520001183223,,,,ES,Capital City Bank,,,
16619651-N,LAURA SACRISTÁN MORENO,,Calle del Sol 5-4D,8028,Suppliers,Granada,,Spain,,Spain,EUR,45298371-M,ES0800810131520001183223,,,,ES,Capital City Bank,,,
23890443K,Natuaventura Group,,Passatge Montserrat 3,8028,Suppliers,Valencia,,Spain,,Spain,EUR,W27183294A,ES1401823999310011645558,BSCHESMM,,,ES,Grand Savings,,,
23890443K,Natuaventura Group,,"Calle Gran Vía, 26, 3º",8028,Suppliers,Alicante,,Spain,,Spain,EUR,W27183294A,ES1701280734710100078202,BSCHESMM,,,ES,Grand Savings,,,
29109358Y,CREADORES DIGITALES NETWORK SL,,"Calle de Soler, 34, 3D Ático",28770,Suppliers,Vigo,,Spain,,Spain,EUR,R67829481V,ES3900496138312710010841,INGDESMM,,,ES,Southern Trust Bank,,,
29109358Y,Onlythejuice Consulting Group,,"Calle de Soler, 34, 3D Ático",28770,Suppliers,Marbella,,Spain,,Spain,EUR,J59132084Y,ES3900495100302817204819,INGDESMM,,,ES,Southern Trust Bank,,,
33522424-Q,HOY SE COME SANO,,"Calle Paseo de la Marea, 21, nº8",28343,Suppliers,Sevilla,,Spain,,Spain,EUR,X10274651-B,ES2300490262082110382784,BBVAESMM,,,ES,Grand Savings,,,
33522424-Q,Ilunion Hotels Group S.A.,,"Calle Paseo de la Marea, 21, nº8",28343,Suppliers,Sevilla,,Spain,,Spain,EUR,X10274651-B,ES2001823999390201529154,BBVAESMM,,,ES,Grand Savings,,,
40985939P,MONDAY BY URBANIA 8 MEDIA S.L.,,"Calle Navarra, 112, 4ª Planta",8025,Suppliers,Barcelona,,Spain,,Spain,EUR,40985939P,ES8820801217513040008065,BSABESBB,,,ES,Victory Bank Corporation,,,
40985939P,PELDAÑO MEDIA CORPORATION,,"Calle Navarra, 112, 4ª Planta",8025,Suppliers,Barcelona,,Spain,,Spain,EUR,40985939P,ES8901824572450208517015,BSABESBB,,,ES,Sunrise Federal Bank,,,
45916689H,Laura Muiña Rodríguez,,"Polígono Norte, C/ Los Olivos, 54",48920,Suppliers,Santander,,Spain,,Spain,EUR,90743251A,ES0800810356160001444852,BASKES2B,,,ES,Atlas Credit Union,,,
45916689H,LAURA SACRISTÁN MORENO,,Calle del Sol 5-4D,48920,Suppliers,Santander,,Spain,,Spain,EUR,90743251A,ES0800810356160001444852,BASKES2B,,,ES,Capital City Bank,,,
48672217P,"TravelPerk Solutions, S.L.",,Calle Fuente Nueva No 108,3005,Suppliers,Madrid,,Spain,,Spain,EUR,B21634570X,ES3721037843310030628694,INGDESMM,,,ES,Sunrise Federal Bank,,,
48672217P,Onlythejuice Consulting Group,,Calle Fuente Nueva No 108,3005,Suppliers,Marbella,,Spain,,Spain,EUR,J59132084Y,ES3900495100302817204819,INGDESMM,,,ES,Guardian Credit Union,,,
51997012S,Caldos y Manjares Global S.L.,,"Avda. del Sol, 42",28891,Suppliers,Madrid,,Spain,,Spain,EUR,51997012S,ES6321000004490201389698,CAIXESBB,,,ES,Grand Savings,,,
51997012S,Caldos y Manjares Global S.L.,,"Calle Fabiola, 102, 10º Dcha.",28891,Suppliers,Madrid,,Spain,,Spain,EUR,51997012S,ES6321000004490201389698,CAIXESBB,,,ES,Apex Community Bank,,,
52425101M,Appinio Digital S.L.U.,,"Calle López de Xxxxxx, Nº 64, 1º D",8800,Suppliers,Barcelona,,Spain,,Spain,EUR,P53908172G,ES3414740000110015488302,BSABESBB,,,ES,Trustwell Bank,,,
52425101M,Universidad Pompeu Fabra - Barcelona,,"Avinguda de Catalunya, 6-8, 1st Floor",8800,Suppliers,Madrid,,Spain,,Spain,EUR,P53908172G,ES3521001227111300228394,BSABESBB,,,ES,Trustwell Bank,,,
528374961,Tredelix Group,,Drammensveien 152,277,Suppliers,Moss,,Norway,,Norway,NOK,NO285913470,NO5268039476173,DNBCATOBXX,60980437455,,NO,Global Finance Bank,Within 30 Days,,39084756.0
528374961,Tredelix Group,,Drammensveien 152,277,Suppliers,Moss,,Norway,,Norway,NOK,NO285913470,NO5268039476173,DNBCATOBXX,60980437455,,NO,Trustwell Bank,Within 30 Days,,17382905.0
53289293H,YOU TEACH ACADEMY S.L.,,"Calle Rafael Sanz, 14",8024,Suppliers,London,,Spain,,Spain,EUR,53289293H,ES7800496728812416354921,CAIXESBB,,,ES,Paramount Reserve Bank,,,
53289293H,YOU TEACH ACADEMY S.L.,,"Calle Rafael Sanz, 14",8024,Suppliers,London,,Spain,,Spain,EUR,53289293H,ES7800496728812416354921,CAIXESBB,,,ES,Capital City Bank,,,
53756195C,CHEF SAM GLOBAL BUSINESS CONSULTING S.L.,,"Calle Marrocos, 1, 2º B Esc Izq.",28039,Suppliers,Madrid,,Spain,,Spain,EUR,J82560172T,ES5001824021560202010711,BSCHESMM,,,ES,Phoenix Bank Group,,,
53756195C,Lab Media and Communication Group SL,,"Calle Corregidor, 41",28039,Suppliers,Córdoba,,Spain,,Spain,EUR,N24754892Z,ES5000730100540548681612,BSCHESMM,,,ES,People's Savings Bank,,,
70050958L,HOY SE COME SANO,,"Calle de Pinar, 112",28510,Suppliers,Sevilla,,Spain,,Spain,EUR,U53108692T,ES2300490262082110382784,BBVAESMM,,,ES,Grand Savings,,,
70050958L,LA RUMBA MADRID SAGASTA,,"Calle de Pinar, 112",28510,Suppliers,Sevilla,,Spain,,Spain,EUR,U53108692T,ES2300810200210002718278,BBVAESMM,,,ES,Grand Savings,,,
70079231W,Appinio Digital S.L.U.,,"Rambla de la Ribera, 52",28055),Suppliers,Barcelona,,Spain,,Spain,EUR,A63470821B,ES3414740000110015488302,BSABESBB,,,ES,Pathfinder Financial,,,
70079231W,BIOCOP BIOLÓGICOS S.A.,,"Rambla de la Ribera, 52",28055),Suppliers,Madrid,,Spain,,Spain,EUR,A63470821B,ES3401822325090204048384,BSABESBB,,,ES,Phoenix Bank Group,,,
7501068D,El Corte Inglez S.A.,,"Avenida Sevilla, 229, Ático",28015,Suppliers,Madrid,,Spain,,Spain,EUR,M83726145,ES2421002931951300452295,BSCHESMM,,,ES,Bayside Credit Union,,,
7501068D,El Corte Inglez S.A.,,"Avenida Sevilla, 229, Ático",28015,Suppliers,Granada,,Spain,,Spain,EUR,M83726145,ES2521000469540200051179,BSCHESMM,,,ES,Bayside Credit Union,,,
A-28/581882,INNERIA CENTER SLU,,"Avenida la Costa, 12",28029,Suppliers,Valencia,,Spain,,Spain,EUR,B47258015,ES4801280076170100063138,CAIXESBB,,,ES,Sunset Reserve Bank,,,
A-28/581882,FUDEAT SOLUTIONS,,"Avenida la Costa, 12",28029,Suppliers,Madrid,,Spain,,Spain,EUR,K29759273,ES4721002931931300316179,CAIXESBB,,,ES,Colonial Reserve Bank,,,
A12426086,Canela Comunicaciones S.L.,,"Puigmont, 3, 08185 Rivas",28027,Suppliers,Lisbon,,Spain,,Spain,EUR,S34018492Y,ES2800810603090001401348,CAIXESBB,,,ES,Colonial Reserve Bank,,,
A12426086,Canela Comunicaciones S.L.,,"Puigmont, 3, 08185 Rivas",28027,Suppliers,Lisbon,,Spain,,Spain,EUR,S34018492Y,ES2700491555192110245840,CAIXESBB,,,ES,Colonial Reserve Bank,,,
A28017895,LA RUMBA MADRID SAGASTA,,"Camino de los Llanos, 24",28009,Suppliers,Malaga,,Spain,,Spain,EUR,A84725750,ES2301280016680100054195,BBVAESMM,,,ES,Grand Savings,,,
A28017895,Javier Díaz Rodríguez,,"Camino de los Llanos, 24",28009,Suppliers,Malaga,,Spain,,Spain,EUR,A84725750,ES2301280016680100054195,BBVAESMM,,,ES,Grand Savings,,,
A58398819,David Chamorro Rodríguez,,"Calle de los Leones, No 1, Planta 8",8185,Manu suppl,Madrid,,Spain,,Spain,EUR,V92137463,ES2800810603090001401348,CAIXESBB,,,ES,Sunset Reserve Bank,,,
A58398819,David Chamorro Rodríguez,,"Carrer de la Rambla, 12",8185,Manu suppl,Madrid,,Spain,,Spain,EUR,G74260384,ES2901820999800208514028,CAIXESBB,,,ES,Sunset Reserve Bank,,,
A79312609,María de Miguel Acuña Group,,"Plaza de la Concha, 1ª Planta",28037,Suppliers,MADRID,,Spain,,Spain,EUR,A79312609,ES9200814221940001182830,BOFAES2,,,ES,Evergreen Federal Bank,,,
A79312609,María de Miguel Acuña Group,,"Calle del Sol, 18",28037,Suppliers,MADRID,,Spain,,Spain,EUR,A79312609,ES9200814221940001182830,BOFAES2,,,ES,Genesis National Bank,,,
A80546088,LUCÍA PÉREZ GÓMEZ,,C/ Antón Martín 13 Bajo G,28027,Suppliers,LISBON,,Spain,,Spain,EUR,P86079531,ES1721009451812200020648,BSCHESMM,,,ES,Grand Savings,,,
A80546088,LUCÍA PÉREZ GÓMEZ,,"C/ Badajoz, 3",28027,Suppliers,Barcelona,,Spain,,Spain,EUR,P86079531,ES1721009451812200020648,BSCHESMM,,,ES,Grand Savings,,,
A82756610,"A-NOVO CONNECT ESPAÑA, S.L.",,"Calle de la Paz, 3",28004,Suppliers,Sevilla,,Spain,,Spain,EUR,G59837201,ES1201825341210200244857,BSCHESMM,,,ES,Evergreen Federal Bank,,,
A82756610,CASA AMETLLER FOOD S.L.,,"Avenida Varsovia, No 27",28004,Suppliers,Sevilla,,Spain,,Spain,EUR,G59837201,ES1201825341210200244857,BSCHESMM,,,ES,Evergreen Federal Bank,,,
A86069465,PETIT PALACE MADRID SANTA BARBARA,,"Riera de los Valles, Nº 46, 4º 2ª",28004,Suppliers,Sevilla,,Spain,,Spain,EUR,D27184658,ES0601280407810100011907,,,,ES,Paramount Reserve Bank,,,
A86069465,DEVAL ROTULOS Y BUZONES,,"Plaza de los Santos, 10",28004,Suppliers,Sevilla,,Spain,,Spain,EUR,D27184658,ES0520950302708200848723,,,,ES,Paramount Reserve Bank,,,
B01863968,Mangas Verdes Consulting S.L.,,"Calle Aragonés, 6, 5ª Planta",15004,Suppliers,Madrid,,Spain,,Spain,EUR,B01863968,ES6701280035660100017534,CAIXESBB,,,ES,Peak Community Bank,,,
B01863968,RODILLA SÁNCHEZ GROUP S.L.,,"C/ Avellana, 14",15004,Suppliers,Alicante,,Spain,,Spain,EUR,B01863968,ES6621000921801300685858,CAIXESBB,,,ES,Peak Community Bank,,,
B06933196,CRUZ BASTOS VANESA,,"Av. Central 423, Principal 1",28020,Suppliers,Bilbao,,Spain,,Spain,EUR,R45060739V,ES4600817112820002457254,CAIXESBB,,,ES,Apex Community Bank,,,
B06933196,CRUZ BASTOS VANESA,,"Av. Central 423, Principal 1",28020,Suppliers,Bilbao,,Spain,,Spain,EUR,R45060739V,ES4600817112820002457254,CAIXESBB,,,ES,Grand Savings,,,
B08639734,M Leticia Galofré Consultora,,"Calle Sierra, 239",8006,Suppliers,Madrid,,Spain,,Spain,EUR,B08639734,ES6900817610790002101220,BBVAESMM,,,ES,Peak Community Bank,,,
B08639734,Mangas Verdes Consulting S.L.,,"Calle Aragonés, 6, 5ª Planta",8006,Suppliers,Madrid,,Spain,,Spain,EUR,B08639734,ES6701280035660100017534,BBVAESMM,,,ES,Peak Community Bank,,,
B13958103,ESTHER CID GARCÍA,,"Avda. Montseny, 6",28640,Suppliers,Madrid,,Spain,,Spain,EUR,L89076159,ES3667248440041131841997,CITIESM,,,ES,Inland Empire Bank,,,
B13958103,ESTHER CID GARCÍA,,"Calle Joaquín Costa, 5, 4º-B",28640,Suppliers,Madrid,,Spain,,Spain,EUR,L89076159,ES3667248440041131841997,CITIESM,,,ES,Inland Empire Bank,,,
B19236181,DEVAL ROTULOS Y BUZONES,,"Plaza de los Santos, 10",19209,Suppliers,Córdoba,,Spain,,Spain,EUR,X68247391,ES0520950302708200848723,,,,ES,People's Savings Bank,,,
B19236181,Estación Central de Chamartín,,"Calle del Mar, 31",19209,Suppliers,Córdoba,,Spain,,Spain,EUR,X68247391,ES0520855975740330011784,,,,ES,True North Bank,,,
B28921195,21 GRAMOS STUDIOS,,"C/ Castilla La Vieja, 22, 3ª Planta",28034,Suppliers,MADRID,,Spain,,Spain,EUR,B28921195,ES9021002383210200305320,BSABESBB,,,ES,Guardian Credit Union,,,
B28921195,PELDAÑO MEDIA CORPORATION,,"C/ Castilla La Vieja, 22, 3ª Planta",28034,Suppliers,MADRID,,Spain,,Spain,EUR,B28921195,ES8901824572450208517015,BSABESBB,,,ES,Sunrise Federal Bank,,,
B42736959,WALLA POP SL,,"Boulevard de la Liberté, 114, Principal",8010,Suppliers,Valencia,,Spain,,Spain,EUR,N25937142,ES1100750255190600327782,CAIXESBB,,,ES,Mariner Financial,,,
B42736959,WALLA POP SL,,"Carrer del Prado, 25, 2n 2a",8010,Suppliers,Valencia,,Spain,,Spain,EUR,N25937142,ES1100750255190600327782,CAIXESBB,,,ES,Mariner Financial,,,
B56939200,INMUEBLES QUEVEDO SEIS S.L.,,"Calle Santa María, 11, 1D",28660,Suppliers,Madrid,,Spain,,Spain,EUR,B39420126S,ES4700495707702416088908,BSABESBB,,,ES,Apex Community Bank,,,
B56939200,INMUEBLES QUEVEDO SEIS S.L.,,Centro Comercial La Rotonda,28660,Suppliers,Madrid,,Spain,,Spain,EUR,B39420126S,ES4700495707702416088908,BSABESBB,,,ES,Blue Ridge Bank,,,
B64076482,SDA CATALUNYA DISTRIBUIDORA S.A.,,"P.I. La Valla, Parcela 72, Nave 12",28003,Suppliers,Zaragoza,,Spain,,Spain,EUR,B64076482,ES7020859287550330382646,BSCHESMM,,,ES,Paramount Reserve Bank,,,
B64076482,SDA CATALUNYA DISTRIBUIDORA S.A.,,"Calle del Sol, 19, Bajo",28003,Suppliers,Zaragoza,,Spain,,Spain,EUR,B64076482,ES7020859287550330382646,BSCHESMM,,,ES,Apex Community Bank,,,
B65071862,Alicia Mena Sánchez,,"Calle del Marqués, 7",8013,Suppliers,Valencia,,Spain,,Spain,EUR,J92635871,ES2521000469540200051179,CAIXESBB,,,ES,Bayside Credit Union,,,
B65071862,Alicia Mena Sánchez,,"Calle del Marqués, 7",8013,Suppliers,Valencia,,Spain,,Spain,EUR,J92635871,ES2700491555192110245840,CAIXESBB,,,ES,Prime Federal Bank,,,
B65672495,"E.I. IMPERFECT FOOD SERVICE, SL",,Montpellier 18,8008,Suppliers,Valencia,,Spain,,Spain,EUR,F67149385,ES1121000033140200699677,CAIXESBB,,,ES,Mariner Financial,,,
B65672495,"E.I. IMPERFECT FOOD SERVICE, SL",,"Boulevard de la Liberté, 114, Principal",8008,Suppliers,Valencia,,Spain,,Spain,EUR,F67149385,ES1121000033140200699677,CAIXESBB,,,ES,Mariner Financial,,,
B66049057,"NEXT BUSINESS EVENTS, S.L.",,"Carrer del Prado, 25, 2n 2a",8026,Suppliers,Valencia,,Spain,,Spain,EUR,R31247860,ES1100490516362210227130,BASKES2B,,,ES,Mariner Financial,,,
B66049057,"NEXT BUSINESS EVENTS, S.L.",,"Av. del Parque, Nº 89, 6",8026,Suppliers,Valencia,,Spain,,Spain,EUR,R31247860,ES1021008668240200020978,BASKES2B,,,ES,Prime Bank Group,,,
B66831165,Dylan Marshall Lima,,Centro Comercial La Rotonda,8036,Manu suppl,Almería,,Spain,,Spain,EUR,C36248570,ES4702390806753655985328,BSABESBB,,,ES,Summit Financial Trust,,,
B66831165,Dylan Marshall Lima,,"Calle Xaloc, 7",8036,Manu suppl,Almería,,Spain,,Spain,EUR,C36248570,ES4702390806753655985328,BSABESBB,,,ES,Summit Financial Trust,,,
B67140889,ALEJANDRO DURÁN MARTÍNEZ,,"Calle Xxxxxx, 12",22300,Suppliers,Barcelona,,Spain,,Spain,EUR,X20475983,ES03 2038 5903 2960 0007 6484,CITIESM,,,ES,Union Reserve Bank,,,
B67140889,ALEJANDRO DURÁN MARTÍNEZ,,"Calle Xxxxxx, 12",22300,Suppliers,Barcelona,,Spain,,Spain,EUR,K12934582,ES03 2038 5903 2960 0007 6484,CITIESM,,,ES,Union Reserve Bank,,,
B67960054,JAVIER MARTÍNEZ RIVERA,,"Ronda de Ginebra, 10",28045,Suppliers,Madrid,,Spain,,Spain,EUR,X20863574T,ES5700497699192110002120,BBVAESMM,,,ES,Victory Bank Corporation,,,
B67960054,OLYMPIA MARKETING AGENCY,,"Ronda de Ginebra, 10",28045,Suppliers,Madrid,,Spain,,Spain,EUR,J54790283P,ES5701824041100202695592,BBVAESMM,,,ES,Victory Bank Corporation,,,
B70589262,Grupo Fire Solutions S.L.,,"Calle la Rambla, 396, Entresuelo 2ª",15011,Suppliers,A Coruña,,Spain,,Spain,EUR,B70589262,ES8221003184102101462073,CAIXESBB,,,ES,Heritage Federal Bank,,,
B70589262,Grupo Fire Solutions S.L.,,Los Dos Girasoles,15011,Suppliers,A Coruña,,Spain,,Spain,EUR,B70589262,ES8221003184102101462073,CAIXESBB,,,ES,Heritage Federal Bank,,,
B70760202,Kaizen Team Building Solutions S.L.,,"Via Giovanni Verdi, 30",28014,Suppliers,MADRID,,Spain,,Spain,EUR,B70760202,ES9601287704810100036347,CAIXESBB,,,ES,Apex Community Bank,,,
B70760202,VISUAL WAGON MEDIA S.L.,,"Grant Tower, 56-60 John Street, 3rd Floor",28014,Suppliers,MADRID,,Spain,,Spain,EUR,B70760202,ES9421006098901300217464,CAIXESBB,,,ES,Alliance Federal Bank,,,
B72724552,CEDROA,,C/ Antón Martín 13 Bajo G,11500,Suppliers,LISBON,,Spain,,Spain,EUR,K21096783,ES1901829465660201817246,BSCHESMM,,,ES,Grand Savings,,,
B72724552,CEDROA,,"C/ San Sebastián 13, Esc. 2 Bajo 2",11500,Suppliers,Madrid,,Spain,,Spain,EUR,K21096783,ES1901829465660201817246,BSCHESMM,,,ES,Grand Savings,,,
B79104469,Kleinson Consulting Group,,Los Dos Girasoles,28020,Suppliers,Madrid,,Spain,,Spain,EUR,B79104469,ES8100751283450600226027,CAIXESBB,,,ES,Heritage Federal Bank,,,
B79104469,Kleinson Consulting Group,,"Calle Ávila, 4, 215",28020,Suppliers,Madrid,,Spain,,Spain,EUR,B79104469,ES8100751283450600226027,CAIXESBB,,,ES,Trustwell Bank,,,
B81800385,HALLON INTELLIGENCE SOLUTIONS S.L.,,"Avenida de Gran Canaria, 196",28004,Suppliers,Madrid,,Spain,,Spain,EUR,B81800385,ES7321008660620200049131,CAIXESBB,,,ES,Summit Financial Trust,,,
B81800385,DEGITARU DIGITAL S.L.,,"Avenida de Gran Canaria, 196",28004,Suppliers,Madrid,,Spain,,Spain,EUR,B81800385,ES7400815207330001192424,CAIXESBB,,,ES,Colonial Reserve Bank,,,
B84904127,CASA AMETLLER FOOD S.L.,,"Avenida Varsovia, No 27",28232,Suppliers,Sevilla,,Spain,,Spain,EUR,J85267144,ES1300815200190001479350,BSCHESMM,,,ES,Genesis National Bank,,,
