Vendor ID Number,Vendor Name,Address,ZIP,City,Country,Email for Contact,Bank Country,Currency code,VAT-No,IBAN,BIC,Bank Account Number,Bank Code,Bank name,Company Entities,Groups
E81458556,REG. MERCANTILES DE BARCELONA,"Avenida de la Libertad, 44",28046,Valencia,Spain,,,,R72384592,AT732011140338268501,,,,Apex Community Bank,ES,Suppliers
ESA28017895,EL CORTES INGLÉS,Dom. Xochimilco,28009,Sevilla,Spain,,,,WQZ48917542,,,,,Bayside Credit Union,ES,Suppliers
,,,,,,,,,,DK4220005905827564,,,,,,
FR86818353070,ALAN S.A.,117 Rue de la Paix,75010,Rome,France,,,,IT77823650981,,,,,Summit Financial Trust,ES,Suppliers
,,,,,,,,,,ES0300490007232611932301,,,,,,
ATU69983609,bgood GmbH Solutions,Löwenstrasse 19/7,AT-1060,Zurich,Austria,,Austria,EUR,BEU38723156,ES0321008953362200045968,,,,Colonial Reserve Bank,ES,Suppliers
,,,,,,,,,,,,,,,,
DK26092183,DUSTIN TECH A/S,"Frederik Parkvej, 27",8260,Brussels,Denmark,,Denmark,DKK,SW74308274,ES0401822329980201513245,,,,Sunset Reserve Bank,ES,Suppliers
,,,,,,,,,,,,,,,,
A28582393,Estación Central de Chamartín,"Calle del Mar, 31",28036,Valencia,Spain,,Spain,EUR,C39287356,ES0520855975740330011784,,,,True North Bank,ES,Suppliers
B19236181,,,19209,Córdoba,Spain,,Spain,EUR,X68247391,,,,,,ES,Suppliers
,DEVAL ROTULOS Y BUZONES,"Plaza de los Santos, 10",,,,,,,,ES0520950302708200848723,,,,People's Savings Bank,,
A86069465,,,28004,Sevilla,Spain,,Spain,EUR,D27184658,,,,,Paramount Reserve Bank,ES,Suppliers
,PETIT PALACE MADRID SANTA BARBARA,"Riera de los Valles, Nº 46, 4º 2ª",,,,,,,,ES0601280407810100011907,,,,,,
16619651-N,,,8028,Granada,Spain,,Spain,EUR,45298371-M,ES0800810131520001183223,,,,Capital City Bank,ES,Suppliers
